Lemma,Sentiment
sheik,2.0
sheepishly,2.0
sharer,2.0
shareholder,2.0
shadowed,2.0
serval,2.0
sequestered,2.0
sence,2.0
semiprivate,2.0
seduce,2.0
sedimentary,2.0
sediment,2.0
sculptress,2.0
scruffy,2.0
scribble,2.0
screamer,2.0
scrabbled,2.0
scour,2.0
scientist,2.0
scholar,2.0
scarred,2.0
scannable,2.0
saxophonist,2.0
sauternes,2.0
salve,2.0
saltine,2.0
salina,2.0
sago,2.0
saggy,2.0
safeguard,2.0
rougher,2.0
roomful,2.0
romero,2.0
romantically,2.0
rocher,2.0
riverside,2.0
rippling,2.0
riotous,2.0
riley,2.0
rhetoric,2.0
revelry,2.0
resurgence,2.0
resupply,2.0
restorative,2.0
restatement,2.0
replan,2.0
relieving,2.0
relatable,2.0
rejuvenate,2.0
regatta,2.0
refractive,2.0
refinement,2.0
ref,2.0
redeye,2.0
reconnection,2.0
rebellious,2.0
ravishingly,2.0
raver,2.0
ravenously,2.0
rascal,2.0
rapper,2.0
ransom,2.0
rancher,2.0
raisiny,2.0
ragamuffin,2.0
radiant,2.0
racoon,2.0
quitter,2.0
quill,2.0
quan,2.0
qualification,2.0
quack,2.0
pusher,2.0
purport,2.0
purity,2.0
punta,2.0
punky,2.0
puncture,2.0
pulpit,2.0
publication,2.0
psychology,2.0
psychiatrist,2.0
psych,2.0
psoriasis,2.0
proposant,2.0
profuse,2.0
professorial,2.0
procession,2.0
procedural,2.0
priss,2.0
printable,2.0
prematurely,2.0
prefectly,2.0
predator,2.0
precourse,2.0
poulpe,2.0
pouch,2.0
porthole,2.0
pornographic,2.0
poll,2.0
ply,2.0
plumper,2.0
plummet,2.0
plethoric,2.0
pleasingly,2.0
playfully,2.0
platoon,2.0
plaster,2.0
planter,2.0
pitaya,2.0
pinte,2.0
pinner,2.0
pinche,2.0
piloting,2.0
pigmentation,2.0
pigment,2.0
pictorial,2.0
picket,2.0
phosphate,2.0
philharmonic,2.0
pharmaceutical,2.0
petition,2.0
petal,2.0
persuasive,2.0
perse,2.0
periodontal,2.0
patriot,2.0
parterre,2.0
parolee,2.0
parishioner,2.0
parenthood,2.0
pare,2.0
papillote,2.0
pallbearer,2.0
paintbrush,2.0
painlessly,2.0
paean,2.0
pact,2.0
oxide,2.0
overstimulation,2.0
overstate,2.0
overheat,2.0
overfond,2.0
orthodontics,2.0
originate,2.0
oratory,2.0
opprobrium,2.0
opinionate,2.0
opine,2.0
onset,2.0
nutritionist,2.0
nosey,2.0
nig,2.0
nibbler,2.0
newton,2.0
newsboy,2.0
neutron,2.0
neurotic,2.0
neurology,2.0
neurologist,2.0
neurological,2.0
nettle,2.0
netter,2.0
negligee,2.0
necktie,2.0
nautilus,2.0
naturopathic,2.0
naturopath,2.0
nain,2.0
mystical,2.0
musically,2.0
multiply,2.0
mulligan,2.0
mowing,2.0
mouton,2.0
mouthwash,2.0
morsal,2.0
monopolize,2.0
monologue,2.0
monogram,2.0
mojarra,2.0
moisty,2.0
modernly,2.0
misspell,2.0
miser,2.0
minimizer,2.0
migration,2.0
midwife,2.0
micrometer,2.0
messenger,2.0
memorably,2.0
memento,2.0
melodious,2.0
meile,2.0
meek,2.0
medial,2.0
meatiness,2.0
mating,2.0
marcel,2.0
manipulation,2.0
manipulate,2.0
magnificently,2.0
magnetic,2.0
madeline,2.0
lysine,2.0
lunar,2.0
lucrative,2.0
loyalist,2.0
loon,2.0
longingly,2.0
loganberry,2.0
livre,2.0
livelihood,2.0
littleneck,2.0
lister,2.0
linoleum,2.0
limbic,2.0
lidded,2.0
libelous,2.0
lessor,2.0
lesion,2.0
lengthen,2.0
ledger,2.0
leaved,2.0
laurel,2.0
laughingly,2.0
lattice,2.0
lather,2.0
lass,2.0
largish,2.0
lactation,2.0
labored,2.0
laboratory,2.0
kuchen,2.0
knotty,2.0
kneeling,2.0
kino,2.0
kingly,2.0
kin,2.0
kilo,2.0
kent,2.0
kensington,2.0
jutting,2.0
jute,2.0
joyfully,2.0
jolt,2.0
jock,2.0
jingle,2.0
jawed,2.0
jailhouse,2.0
jag,2.0
iso,2.0
irene,2.0
inverter,2.0
internist,2.0
instructional,2.0
instinctively,2.0
inspirational,2.0
insomniac,2.0
infertility,2.0
impulsively,2.0
improvisational,2.0
implore,2.0
ife,2.0
hysterically,2.0
hypothetically,2.0
hypo,2.0
husky,2.0
hurling,2.0
hued,2.0
hubba,2.0
houseful,2.0
horticulture,2.0
honeyed,2.0
hone,2.0
homemaker,2.0
holster,2.0
hind,2.0
hin,2.0
hiker,2.0
hex,2.0
heretofore,2.0
hematoma,2.0
hellion,2.0
heft,2.0
hedonist,2.0
heaving,2.0
healthfully,2.0
healer,2.0
heady,2.0
headpiece,2.0
headboard,2.0
havoc,2.0
hart,2.0
gunsmith,2.0
guidebook,2.0
guano,2.0
groveling,2.0
grounding,2.0
grippy,2.0
greenhouse,2.0
grat,2.0
gradation,2.0
gra,2.0
goulash,2.0
googly,2.0
goodman,2.0
godless,2.0
gnash,2.0
glycolic,2.0
gleam,2.0
giver,2.0
uncaring,-1.1538461538461537
reversed,-1.1538461538461537
horrible,-1.1599394550958628
immature,-1.16
cockroach,-1.16
disorganization,-1.1666666666666667
rude,-1.17606915377616
scathing,-1.1818181818181819
genetically,-1.1818181818181819
shameful,-1.1875
insulting,-1.1911764705882353
racist,-1.1956521739130435
proponent,-1.2
mortified,-1.2
careless,-1.2045454545454546
insult,-1.2100840336134453
debt,-1.2105263157894737
blandness,-1.2142857142857142
poisoning,-1.2238805970149254
retrain,-1.2307692307692308
refusal,-1.2307692307692308
condescending,-1.2321428571428572
disgrace,-1.2333333333333334
furious,-1.2439024390243902
scab,-1.25
consign,-1.25
authorization,-1.25
yuck,-1.255813953488372
incompetence,-1.2580645161290323
unhelpful,-1.26
threaten,-1.2608695652173914
salmonella,-1.2666666666666666
aggravation,-1.2666666666666666
twiddling,-1.2727272727272727
negligent,-1.2727272727272727
lied,-1.2781456953642385
scam,-1.2843137254901962
stank,-1.2857142857142858
scummy,-1.3
insincere,-1.3
arriba,-1.3
supervisor,-1.3012048192771084
rudely,-1.3038674033149171
malfunction,-1.3076923076923077
decency,-1.3076923076923077
unclean,-1.3125
deceitful,-1.3125
compensation,-1.3157894736842106
uncalled,-1.3333333333333333
thimble,-1.3333333333333333
termination,-1.3333333333333333
tanned,-1.3333333333333333
feces,-1.3333333333333333
deafening,-1.3333333333333333
blister,-1.3333333333333333
cuticle,-1.3478260869565217
accused,-1.3478260869565217
disrespect,-1.3548387096774193
unacceptable,-1.3584905660377358
unmelted,-1.3636363636363635
degrading,-1.3636363636363635
apathy,-1.3636363636363635
rancid,-1.3695652173913044
worst,-1.3786049631120054
methinks,-1.3793103448275863
vomiting,-1.3846153846153846
unsatisfactory,-1.4
negligence,-1.4
greed,-1.4
jackass,-1.4210526315789473
unprofessional,-1.434782608695652
disturbingly,-1.4545454545454546
disgusted,-1.463235294117647
dispute,-1.469387755102041
marijuana,-1.4705882352941178
fraud,-1.4782608695652173
incompetent,-1.4803921568627452
liar,-1.4864864864864864
voluntary,-1.5
voluminous,-1.5
tuff,-1.5
thump,-1.5
synthesizer,-1.5
sunburn,-1.5
solicitous,-1.5
shotty,-1.5
saleswoman,-1.5
pumice,-1.5
petulant,-1.5
parody,-1.5
negligible,-1.5
naively,-1.5
mosquito,-1.5
madman,-1.5
hedge,-1.5
hardback,-1.5
growl,-1.5
grayish,-1.5
gall,-1.5
forgivable,-1.5
forceful,-1.5
disgraceful,-1.5
crapy,-1.5
concussion,-1.5
clause,-1.5
cemetery,-1.5
defective,-1.5142857142857142
disrespectful,-1.536231884057971
discrimination,-1.5454545454545454
refund,-1.5471311475409837
violently,-1.55
unethical,-1.5833333333333333
podiatrist,-1.6
sarcastically,-1.6111111111111112
livid,-1.6470588235294117
wristlet,-1.6666666666666667
voided,-1.6666666666666667
sympathize,-1.6666666666666667
reporter,-1.6666666666666667
huff,-1.6666666666666667
diatribe,-1.6666666666666667
argumentative,-1.6923076923076923
authorize,-1.7
inexcusable,-1.7222222222222223
zagged,-2.0
wrongly,-2.0
wordlessly,-2.0
wintry,-2.0
whereby,-2.0
wheeler,-2.0
wetback,-2.0
wend,-2.0
weeping,-2.0
watt,-2.0
wart,-2.0
wab,-2.0
volt,-2.0
viral,-2.0
violator,-2.0
vi,-2.0
ventilator,-2.0
vaginal,-2.0
uplift,-2.0
unsecured,-2.0
unscrupulous,-2.0
unscrewed,-2.0
unknowledgeable,-2.0
unflushed,-2.0
unexplained,-2.0
unexplainable,-2.0
undrinkable,-2.0
underhanded,-2.0
undefinable,-2.0
unbuckle,-2.0
unbiased,-2.0
unamused,-2.0
trimmer,-2.0
trickster,-2.0
trespasser,-2.0
tramp,-2.0
tradesman,-2.0
tracheotomy,-2.0
toric,-2.0
tootsy,-2.0
toothache,-2.0
tombstone,-2.0
toi,-2.0
tit,-2.0
tinned,-2.0
tink,-2.0
tiff,-2.0
ticking,-2.0
thunderstorm,-2.0
terminator,-2.0
tentatively,-2.0
tec,-2.0
teary,-2.0
tambourine,-2.0
talkie,-2.0
systemic,-2.0
swiftness,-2.0
swampy,-2.0
surrealist,-2.0
surpassing,-2.0
sullen,-2.0
sty,-2.0
stubby,-2.0
stoneware,-2.0
stocky,-2.0
sternly,-2.0
starched,-2.0
staged,-2.0
squinted,-2.0
sprayer,-2.0
spiteful,-2.0
spica,-2.0
speculate,-2.0
specimen,-2.0
specificly,-2.0
someway,-2.0
soaky,-2.0
snowbird,-2.0
sloth,-2.0
slogging,-2.0
skimmer,-2.0
shiver,-2.0
sheepish,-2.0
sharpener,-2.0
shamed,-2.0
sham,-2.0
shalt,-2.0
sewed,-2.0
servant,-2.0
serrated,-2.0
semen,-2.0
segregate,-2.0
seedless,-2.0
sealer,-2.0
scrimped,-2.0
scribbled,-2.0
scorned,-2.0
saline,-2.0
salesmanship,-2.0
ruthless,-2.0
routing,-2.0
roto,-2.0
robber,-2.0
roadway,-2.0
ringer,-2.0
rightful,-2.0
reversal,-2.0
retouch,-2.0
retell,-2.0
resin,-2.0
repairman,-2.0
relativity,-2.0
rel,-2.0
rejection,-2.0
refurbishment,-2.0
refinance,-2.0
reface,-2.0
reese,-2.0
recurrence,-2.0
receiver,-2.0
radiology,-2.0
rabies,-2.0
questionably,-2.0
quencher,-2.0
purebred,-2.0
prune,-2.0
provision,-2.0
protracted,-2.0
prostate,-2.0
preposterous,-2.0
prepayment,-2.0
predominance,-2.0
precursory,-2.0
precautionary,-2.0
possessive,-2.0
portent,-2.0
poot,-2.0
plausible,-2.0
pittance,-2.0
pinhole,-2.0
pimple,-2.0
pillbox,-2.0
pice,-2.0
photocopy,-2.0
phos,-2.0
pervious,-2.0
pervading,-2.0
peon,-2.0
pelvic,-2.0
pax,-2.0
parasite,-2.0
palsy,-2.0
ovarian,-2.0
outage,-2.0
ornamental,-2.0
oracle,-2.0
offhandedly,-2.0
oath,-2.0
nonreligious,-2.0
node,-2.0
nimbus,-2.0
myasthenia,-2.0
musk,-2.0
multinational,-2.0
muck,-2.0
mourning,-2.0
morphine,-2.0
morgue,-2.0
morale,-2.0
monitory,-2.0
modular,-2.0
misrepresentation,-2.0
megalomaniac,-2.0
mayhem,-2.0
maximus,-2.0
maraca,-2.0
maniacal,-2.0
manhole,-2.0
malicious,-2.0
magnifier,-2.0
maggot,-2.0
lurk,-2.0
lugged,-2.0
lubricant,-2.0
loiterer,-2.0
loath,-2.0
litmus,-2.0
limousine,-2.0
lier,-2.0
leper,-2.0
lento,-2.0
lender,-2.0
legion,-2.0
leghorn,-2.0
kindergarten,-2.0
kiddy,-2.0
kickoff,-2.0
juggernaut,-2.0
investigational,-2.0
insipid,-2.0
inpatient,-2.0
infraction,-2.0
inelegant,-2.0
indescribable,-2.0
inconsistently,-2.0
imprint,-2.0
imploring,-2.0
hypodermic,-2.0
hurriedly,-2.0
humanely,-2.0
hulk,-2.0
hotelier,-2.0
hospice,-2.0
hideously,-2.0
heroine,-2.0
hector,-2.0
hearse,-2.0
header,-2.0
hangnail,-2.0
handprint,-2.0
handout,-2.0
handfasting,-2.0
hallow,-2.0
halfhearted,-2.0
hain,-2.0
habitually,-2.0
gutless,-2.0
gunk,-2.0
gruel,-2.0
grieving,-2.0
gravitational,-2.0
granulated,-2.0
goatee,-2.0
glump,-2.0
geriatrics,-2.0
gelly,-2.0
galley,-2.0
fungal,-2.0
fruitless,-2.0
frig,-2.0
freewheel,-2.0
fraternity,-2.0
frail,-2.0
fot,-2.0
foreman,-2.0
forcefully,-2.0
footed,-2.0
flinch,-2.0
fletcher,-2.0
flap,-2.0
flamboyant,-2.0
flagstone,-2.0
fished,-2.0
fireable,-2.0
fingerprint,-2.0
filly,-2.0
fictious,-2.0
felony,-2.0
fellatio,-2.0
fay,-2.0
fanatical,-2.0
extern,-2.0
exponential,-2.0
equaling,-2.0
enhancement,-2.0
engraved,-2.0
ell,-2.0
dyer,-2.0
dwarf,-2.0
dustpan,-2.0
dun,-2.0
drunkard,-2.0
drooping,-2.0
drinkless,-2.0
drafty,-2.0
dosage,-2.0
domino,-2.0
dividend,-2.0
disturbance,-2.0
distraught,-2.0
distaste,-2.0
disorderly,-2.0
dislocated,-2.0
diseased,-2.0
dioxide,-2.0
diocesan,-2.0
dildo,-2.0
diffused,-2.0
dictator,-2.0
dialect,-2.0
devotion,-2.0
despicable,-2.0
deranged,-2.0
delinquent,-2.0
deception,-2.0
deathly,-2.0
deadbeat,-2.0
damsel,-2.0
cytology,-2.0
cutout,-2.0
curmudgeon,-2.0
crowbar,-2.0
crook,-2.0
critically,-2.0
crayon,-2.0
coy,-2.0
cowardly,-2.0
counselor,-2.0
cosmetologist,-2.0
correspondingly,-2.0
corinne,-2.0
copperhead,-2.0
convalescent,-2.0
contortionist,-2.0
consulate,-2.0
constable,-2.0
conspicuous,-2.0
confessional,-2.0
commissary,-2.0
combative,-2.0
colonic,-2.0
coli,-2.0
cocker,-2.0
clubber,-2.0
clot,-2.0
cloche,-2.0
cisco,-2.0
cinematographer,-2.0
chinchilla,-2.0
chimpanzee,-2.0
chalazion,-2.0
cesspool,-2.0
celeste,-2.0
catheter,-2.0
carbo,-2.0
camomile,-2.0
bystander,-2.0
buxom,-2.0
butch,-2.0
bushy,-2.0
burial,-2.0
bunkie,-2.0
bullying,-2.0
breadless,-2.0
brazen,-2.0
brawling,-2.0
bosch,-2.0
bookkeeping,-2.0
booger,-2.0
bong,-2.0
bolero,-2.0
bobble,-2.0
blandly,-2.0
biyearly,-2.0
bereft,-2.0
bennet,-2.0
beautician,-2.0
barbarian,-2.0
banal,-2.0
bale,-2.0
bagpiper,-2.0
bach,-2.0
aye,-2.0
avoidable,-2.0
aureus,-2.0
audition,-2.0
asta,-2.0
ase,-2.0
apologetically,-2.0
airtight,-2.0
activation,-2.0
acre,-2.0
accusation,-2.0
accelerated,-2.0
absentmindedly,-2.0
abhorrent,-2.0
